variant,canonical,note
o3-pro-2025-06-10-reasoning-high,o3-pro-2025-06-10_high,"Scale SEAL alias (auto, high-confidence)"
o3-mini (high),o3-mini-2025-01-31_high,"Scale SEAL alias (auto, high-confidence)"
o3-mini (medium),o3-mini-2025-01-31_medium,"Scale SEAL alias (auto, high-confidence)"
o4-mini (high) (April 2025),o4-mini-2025-04-16_high,"Scale SEAL alias (auto, high-confidence)"
o4-mini (medium) (April 2025),o4-mini-2025-04-16_medium,"Scale SEAL alias (auto, high-confidence)"
o4-mini-high,o4-mini-2025-04-16_high,"Scale SEAL alias (auto, high-confidence)"
o4-mini-2025-04-16-reasoning-high,o4-mini-2025-04-16_high,"Scale SEAL alias (auto, high-confidence)"
Claude 3 Sonnet,claude-3-sonnet-20240229,"Scale SEAL alias (auto, verified checkpoint)"
GPT-4o mini,gpt-4o-mini-2024-07-18,"Scale SEAL alias (auto, verified checkpoint)"
"Gemini 1.5 Pro (August 27, 2024)",gemini-1.5-pro-002,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 1.5 Pro (May 2024),gemini-1.5-pro-001,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.0 Flash,gemini-2.0-flash-001,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.0 Flash (February 2025),gemini-2.0-flash-001,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.0 Flash Experimental,gemini-2.0-flash-exp,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.0 Flash Experimental (December 2024),gemini-2.0-flash-exp,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.0 Flash Lite Preview,gemini-2.0-flash-lite,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.0 Flash Lite Preview (February 2025),gemini-2.0-flash-lite,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.5 Flash (April 2025),gemini-2.5-flash,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.5 Flash Preview (May 2025) ,gemini-2.5-flash,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.5 Flash Preview (May 2025),gemini-2.5-flash,Scale SEAL alias (no-trailing-space form)
Gemini 2.5 Pro Experimental (March 2025),gemini-2.5-pro-exp-03-25,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.5 Pro Preview,gemini-2.5-pro,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 2.5 Pro Preview (May 06 2025),gemini-2.5-pro-preview-05-06,"Scale SEAL alias (auto, verified checkpoint)"
Gemini 3 Pro,gemini-3-pro-preview,"Scale SEAL alias (auto, verified checkpoint)"
Llama 3 70B Instruct,Meta-Llama-3-70B-Instruct,"Scale SEAL alias (auto, verified checkpoint)"
Mistral Large,mistral-large-2402,"Scale SEAL alias (auto, verified checkpoint)"
Mistral Large 2,mistral-large-2407,"Scale SEAL alias (auto, verified checkpoint)"
gemini-2-0-flash,gemini-2.0-flash-001,"Scale SEAL alias (auto, verified checkpoint)"
gemini-2-5-pro,gemini-2.5-pro,"Scale SEAL alias (auto, verified checkpoint)"
gpt-5.1 (high),gpt-5.1-2025-11-13_high,"Scale SEAL alias (auto, verified checkpoint)"
gpt-5.2 (xhigh),gpt-5.2-2025-12-11_xhigh,"Scale SEAL alias (auto, verified checkpoint)"
gpt-5.4-mini (xhigh),gpt-5.4-mini-2026-03-17_xhigh,"Scale SEAL alias (auto, verified checkpoint)"
GPT 5.2,gpt-5.2-2025-12-11_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5.2,gpt-5.2-2025-12-11_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5.2-2025-12-11,gpt-5.2-2025-12-11_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5-2025-08-07,gpt-5-2025-08-07_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5-pro-2025-10-06,gpt-5-pro-2025-10-06_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5.4-pro-2026-03-05,gpt-5.4-pro-2026-03-05_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
o1 (December 2024),o1-2024-12-17_unknown,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5.1-2025-11-13-instant,gpt-5.1-2025-11-13_none,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
gpt-5.1-instant,gpt-5.1-2025-11-13_none,"Scale SEAL alias (effort-less -> _unknown/_none, user-approved)"
deepseek-r1-0528,DeepSeek-R1-0528,Scale SEAL alias (round 2: new boards)
claude-sonnet-4,claude-sonnet-4-20250514,Scale SEAL alias (round 2: new boards)
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,Scale SEAL alias (round 2: new boards)
llama4-scout,Llama-4-Scout-17B-16E-Instruct,Scale SEAL alias (round 2: new boards)
llama4-maverick-instruct-basic,Llama-4-Maverick-17B-128E-Instruct,Scale SEAL alias (round 2: new boards)
gemini-3.1-pro,gemini-3.1-pro-preview,Scale SEAL alias (round 2: new boards)
gemini-2.5-flash*,gemini-2.5-flash,Scale SEAL alias (round 2: new boards)
gpt-5.4 (High),gpt-5.4-2026-03-05_high,Scale SEAL alias (round 2: new boards)
gpt-5.4-2026-03-05 (reasoning effort = high),gpt-5.4-2026-03-05_high,Scale SEAL alias (round 2: new boards)
gpt-5.2-2025-12-11 (medium),gpt-5.2-2025-12-11_medium,Scale SEAL alias (round 2: new boards)
gpt-5,gpt-5-2025-08-07_unknown,Scale SEAL alias (round 2: new boards)
gpt-5-pro,gpt-5-pro-2025-10-06_unknown,Scale SEAL alias (round 2: new boards)
o3-2025-04-16,o3-2025-04-16_unknown,Scale SEAL alias (round 2: new boards)
gpt-5.2-2025-12-11 (default),gpt-5.2-2025-12-11_unknown,Scale SEAL alias (round 2: new boards)
qwen.qwen3-235b-a22b-2507-v1:0,Qwen3-235B-A22B-Instruct-2507,Scale SEAL alias (round 2: new boards)
mistral-medium-latest,mistral-medium-2505,Scale SEAL alias (round 2: new boards)
BLOOM (176B),bloom,augmented:helm
Falcon (40B),falcon-40b,augmented:helm
Falcon (7B),falcon-7b,augmented:helm
Falcon-Instruct (40B),falcon-40b-instruct,augmented:helm
GPT-J (6B),gpt-j-6b,augmented:helm
GPT-NeoX (20B),gpt-neox-20b,augmented:helm
LLaMA (7B),LLaMA-7B,augmented:helm
LLaMA (13B),LLaMA-13B,augmented:helm
LLaMA (30B),LLaMA-33B,augmented:helm
LLaMA (65B),LLaMA-65B,augmented:helm
Llama 2 (7B),Llama-2-7b,augmented:helm
Llama 2 (13B),Llama-2-13b,augmented:helm
Llama 2 (70B),Llama-2-70b-hf ,augmented:helm
MPT (30B),mpt-30b,augmented:helm
MPT-Instruct (30B),mpt-30b-instruct,augmented:helm
OPT (66B),opt-66b,augmented:helm
OPT (175B),opt-175b,augmented:helm
RedPajama-INCITE-Base (7B),RedPajama-INCITE-7B-Base,augmented:helm
T5 (11B),T5-11B,augmented:helm
Vicuna v1.3 (13B),vicuna-13b-v1.3,augmented:helm
davinci (175B),davinci,augmented:helm
curie (6.7B),curie,augmented:helm
babbage (1.3B),babbage,augmented:helm
ada (350M),ada,augmented:helm
davinci (175B)⚠,davinci,augmented:helm
curie (6.7B)⚠,curie,augmented:helm
babbage (1.3B)⚠,babbage,augmented:helm
ada (350M)⚠,ada,augmented:helm
text-ada-001⚠,text-ada-001,augmented:helm
text-babbage-001⚠,text-babbage-001,augmented:helm
text-curie-001⚠,text-curie-001,augmented:helm
text-davinci-002⚠,text-davinci-002,augmented:helm
text-davinci-003⚠,text-davinci-003,augmented:helm
claude-4-1-opus-20250805-base,claude-opus-4-1-20250805,augmented:livebench
claude-4-sonnet-20250514-base,claude-sonnet-4-20250514,augmented:livebench
claude-opus-4-7-high-effort,claude-opus-4-7_high,augmented:livebench
claude-opus-4-7-low-effort,claude-opus-4-7_low,augmented:livebench
claude-opus-4-7-medium-effort,claude-opus-4-7_medium,augmented:livebench
claude-opus-4-8-high-effort,claude-opus-4-8_high,augmented:livebench
claude-opus-4-8-low-effort,claude-opus-4-8_low,augmented:livebench
claude-opus-4-8-medium-effort,claude-opus-4-8_medium,augmented:livebench
gemini-3.5-flash-high,gemini-3.5-flash_high,augmented:livebench
gpt-5.1-2025-11-13-high,gpt-5.1-2025-11-13_high,augmented:livebench
gpt-5.1-2025-11-13-low,gpt-5.1-2025-11-13_low,augmented:livebench
gpt-5.1-2025-11-13-medium,gpt-5.1-2025-11-13_medium,augmented:livebench
gpt-5.2-2025-12-11-high,gpt-5.2-2025-12-11_high,augmented:livebench
gpt-5.2-2025-12-11-low,gpt-5.2-2025-12-11_low,augmented:livebench
gpt-5.2-2025-12-11-medium,gpt-5.2-2025-12-11_medium,augmented:livebench
gpt-5.3-codex-high,gpt-5.3-codex_high,augmented:livebench
gpt-5.5-high,gpt-5.5_high,augmented:livebench
gpt-5.5-medium,gpt-5.5_medium,augmented:livebench
claude-fable-5-high-effort,claude-fable-5_high,augmented:livebench
Kimi K2.6,kimi-k2.6,augmented:steel
GLM-5,glm-5,augmented:steel
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,augmented:steel
Kimi K2.5,kimi-k2.5,augmented:steel
Qwen3.6 Plus,qwen3.6-plus,augmented:steel
GLM-5.1,glm-5.1,augmented:steel
MiniMax M2.5,MiniMax-M2.5,augmented:steel
GPT-5.3-Codex,gpt-5.3-codex,augmented:steel
GLM-4.7,glm-4.7,augmented:steel
MiniMax M2.1,MiniMax-M2.1,augmented:steel
MiniMax M2,MiniMax-M2,augmented:steel
GLM-4.6,glm-4.6,augmented:steel
Grok 4 Fast,grok-4-fast,augmented:steel
GLM-4.5,glm-4.5,augmented:steel
Claude Sonnet 4 Thinking,claude-sonnet-4-20250514_unknown,augmented:steel (was claude-sonnet-4-thinking)
Gemini 2.5 Pro Preview 05-06,gemini-2.5-pro-preview-05-06,augmented:steel
Gemini 2.5 Pro Preview 03-25,gemini-2.5-pro-preview-03-25,augmented:steel
Qwen2.5 VL 72B Instruct,Qwen2.5-VL-72B-Instruct,augmented:steel
claude-fable-5-xhigh-effort,claude-fable-5_xhigh,augmented:livebench
claude-opus-4-7-xhigh-effort,claude-opus-4-7_xhigh,augmented:livebench
claude-opus-4-8-xhigh-effort,claude-opus-4-8_xhigh,augmented:livebench
deepseek-v3.2-exp,DeepSeek-V3.2-Exp,augmented:livebench
deepseek-v3.2-exp-thinking,DeepSeek-V3.2-Exp_thinking,augmented:livebench
gpt-5.3-codex-xhigh,gpt-5.3-codex_xhigh,augmented:livebench
gpt-5.5-xhigh,gpt-5.5_xhigh,augmented:livebench
minimax-m2.5,MiniMax-M2.5,augmented:livebench
minimax-m2.7,MiniMax-M2.7,augmented:livebench
qwen3-235b-a22b-instruct-2507,Qwen3-235B-A22B-Instruct-2507,augmented:livebench
qwen3-235b-a22b-thinking-2507,Qwen3-235B-A22B-Thinking-2507,augmented:livebench
Qwen3.5-27B,qwen3.5-27B,augmented:steel
Claude 3.7 Sonnet Thinking (Feb 2025),claude-3-7-sonnet-20250219_unknown,leaderboard label; thinking w/ unspecified budget -> _unknown effort bucket
Claude 3.7 Sonnet Thinking (February 2025),claude-3-7-sonnet-20250219_unknown,same as Feb 2025 spelling
Claude-3.7-Sonnet-thinking,claude-3-7-sonnet-20250219_unknown,spelling variant
claude-3-7-sonnet-thinking,claude-3-7-sonnet-20250219_unknown,spelling variant
claude-37-sonnet-thinking,claude-3-7-sonnet-20250219_unknown,spelling variant
gpt-5.4 (xhigh),gpt-5.4-2026-03-05_xhigh,leaderboard label -> versioned xhigh variant
gpt-5.4 (xHigh),gpt-5.4-2026-03-05_xhigh,case variant (markers stripped upstream)
gpt-5.4(xHigh),gpt-5.4-2026-03-05_xhigh,no-space variant
Deepseek V3,DeepSeek-V3,spelling variant
DeepSeek-V3 (December 2024),DeepSeek-V3,original Dec-2024 release
DeepSeek V3 (March 2025),DeepSeek-V3-0324,the 0324 update
deepseek-v3p1,DeepSeek-V3.1,p-notation spelling
ChatGPT-4o-latest (November 2024),gpt-4o-2024-11-20,chatgpt-4o-latest at Nov 2024 = the 11-20 snapshot
claude-4-1-opus-20250805-thinking-32k,claude-opus-4-1-20250805_unknown,LiveBench reverses opus/4-1 and tags context window; collapse to DB thinking base (was claude-opus-4-1-20250805-thinking)
claude-haiku-4-5-20251001-thinking-64k,claude-haiku-4-5-20251001_unknown,LiveBench context-window tag dropped (was claude-haiku-4-5-20251001-thinking)
claude-sonnet-4-5-20250929-thinking-64k,claude-sonnet-4-5-20250929_unknown,LiveBench context-window tag dropped (was claude-sonnet-4-5-20250929-thinking)
claude-opus-4-5-20251101-low-effort,claude-opus-4-5-20251101,LiveBench effort suffix; DB has no effort split for opus-4-5 base
claude-opus-4-5-20251101-medium-effort,claude-opus-4-5-20251101,LiveBench effort suffix; DB has no effort split for opus-4-5 base
claude-opus-4-5-20251101-high-effort,claude-opus-4-5-20251101,LiveBench effort suffix; DB has no effort split for opus-4-5 base
claude-opus-4-5-20251101-thinking-64k-low-effort,claude-opus-4-5-20251101_unknown,LiveBench effort+context tag; collapse to DB thinking base (was claude-opus-4-5-20251101-thinking)
claude-opus-4-5-20251101-thinking-64k-medium-effort,claude-opus-4-5-20251101_unknown,LiveBench effort+context tag; collapse to DB thinking base (was claude-opus-4-5-20251101-thinking)
claude-opus-4-5-20251101-thinking-64k-high-effort,claude-opus-4-5-20251101_unknown,LiveBench effort+context tag; collapse to DB thinking base (was claude-opus-4-5-20251101-thinking)
claude-opus-4-6-thinking-auto-high-effort,claude-opus-4-6_unknown,LiveBench thinking-auto is DB's thinking; effort tag dropped (was claude-opus-4-6-thinking)
gemini-2.5-flash-preview-09-2025-highthinking,gemini-2.5-flash-preview-09-2025,LiveBench thinking-mode tag; DB has no separate thinking variant for this snapshot
gemini-2.5-flash-lite-preview-09-2025-highthinking,gemini-2.5-flash-lite-preview-09-2025,LiveBench thinking-mode tag; DB has no separate thinking variant for this snapshot
qwen3-30b-a3b-thinking,Qwen3-30B-A3B,LiveBench thinking suffix; DB has only base Qwen3-30B-A3B
qwen3-32b-thinking,Qwen3-32B,LiveBench thinking suffix; DB has only base Qwen3-32B
grok-code-fast-1-0825,grok-code-fast-1,LiveBench dated snapshot; DB tracks base only
Claude Opus 4.5,claude-opus-4-5-20251101,Steel.dev display name
Claude Opus 4.6,claude-opus-4-6,Steel.dev display name
Claude Opus 4.7,claude-opus-4-7,Steel.dev display name
Claude Sonnet 4.5,claude-sonnet-4-5-20250929,Steel.dev display name
Claude Sonnet 4.6,claude-sonnet-4-6,Steel.dev display name
Claude Haiku 4.5,claude-haiku-4-5-20251001,Steel.dev display name
Claude Mythos Preview,claude-mythos-preview-early,Steel.dev display name
Gemini 3 Flash,gemini-3-flash-preview,Steel.dev display name
Gemini 3.1 Pro,gemini-3.1-pro-preview,Steel.dev display name
DeepSeek-V4-Flash-Max,deepseek-v4-flash_max,Steel.dev display name (dash→underscore before effort)
DeepSeek-V4-Pro-Max,deepseek-v4-pro_max,Steel.dev display name (dash→underscore before effort)
chutes/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,defrag: serving-provider prefix
zai-org/GLM-4.7,glm-4.7,defrag: serving-provider prefix + case
zai-org/glm-4.7,glm-4.7,defrag: serving-provider prefix
Qwen/Qwen3-235B-A22B-Thinking-2507,Qwen3-235B-A22B-Thinking-2507,defrag: serving-provider prefix
chutes/Qwen3-235B-A22B-Thinking-2507,Qwen3-235B-A22B-Thinking-2507,defrag: serving-provider prefix
qwen/qwen3-235b-a22b-thinking-2507,Qwen3-235B-A22B-Thinking-2507,defrag: serving-provider prefix + case
moonshotai/Kimi-K2-Thinking,kimi-k2-thinking,defrag: serving-provider prefix + case
openai/gpt-oss-120b_high,gpt-oss-120b_high,defrag: serving-provider prefix
Qwen3-235B-A22B,qwen3-235b-a22b,defrag: case-only duplicate
zai-org/GLM-4.6,glm-4.6,defrag: serving-provider prefix + case
fireworks/deepseek-v3p2,deepseek-v3.2,"defrag: serving-provider prefix + p-spelling. Was landing on the non-canonical deepseek-v3p2, splitting the Dec-2025 V3.2 across two test-takers"
deepseek/deepseek-v3.2,deepseek-v3.2,"defrag: serving-provider prefix. Dec-2025 V3.2, distinct from the Sept V3.2-Exp"
deepseek-v3p2,deepseek-v3.2,"p-spelling; Scale SEAL ships this form unprefixed, so the fireworks/ row alone does not catch it"
Claude-4-Opus-20250514-thinking,claude-opus-4-20250514_unknown,defrag: case-only duplicate (was claude-4-opus-20250514-thinking)
GPT-4o,gpt-4o,defrag: case-only duplicate
