benchmark,model_version,organization,release_date,score,feed
FrontierCode,Composer 2.5,Cursor,2026-05-18,0.2564,epoch
FrontierCode,swe-1.7,Cognition,2026-07-08,0.4199,epoch
FrontierMath Tier 4 v2,gdm-ai-co-mathematician,Google DeepMind,2026-05-08,0.756,epoch_live
GPQA Diamond,qwen1.5-72b-chat,Alibaba,2024-02-04,0.2881944444444444,epoch_live
GPQA Diamond,qwen1.5-32b-chat,Alibaba,2024-04-03,0.307449494949495,epoch_live
GPQA Diamond,Eurus-2-7B-PRIME,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute",2024-12-31,0.3390151515151515,epoch_live
GPQA Diamond,qwq-plus,Alibaba,2025-04-08,0.6540404040404041,epoch_live
GSM8K,ada,OpenAI,2020-06-11,0.006,epoch
GSM8K,curie,OpenAI,2020-06-11,0.016,epoch
GSM8K,babbage,OpenAI,2020-06-22,0.007,epoch
GSM8K,text-ada-001,OpenAI,2022-01-27,0.004,epoch
GSM8K,text-babbage-001,OpenAI,2022-01-27,0.0,epoch
GSM8K,text-curie-001,OpenAI,2022-01-27,0.006,epoch
GSM8K,code-davinci-002,OpenAI,2022-03-15,0.568,epoch
GSM8K,opt-175b,Meta AI,2022-05-02,0.04,epoch
GSM8K,opt-66b,Meta AI,2022-05-03,0.018,epoch
GSM8K,bloom,"Hugging Face,BigScience",2022-07-06,0.095,epoch
GSM8K,text-davinci-003,OpenAI,2022-11-28,0.782,epoch
GSM8K,falcon-40b-instruct,Technology Innovation Institute,2023-05-25,0.338,epoch
GSM8K,vicuna-13b-v1.3,"Large Model Systems Organization,University of California (UC) Berkeley",2023-06-18,0.226,epoch
GSM8K,mpt-30b-instruct,MosaicML,2023-06-22,0.344,epoch
GSM8K,DeepSeek-Coder-V2-Lite-Instruct,DeepSeek,2024-06-13,0.876,epoch
GSM8K,DeepSeek-Coder-V2-Instruct,DeepSeek,2024-06-17,0.945,epoch
GSM8K,gemma-2-9b,Google DeepMind,2024-06-27,0.849,epoch
GSM8K,Mistral-Nemo-Base-2407,Mistral AI,2024-07-18,0.842,epoch
GSM8K,Phi-3.5-mini-instruct,Microsoft,2024-08-16,0.862,epoch
GSM8K,Phi-3.5-MoE-instruct,Microsoft,2024-08-17,0.887,epoch
GSM8K,Qwen2.5-Coder-7B-Instruct,Alibaba,2024-09-18,0.867,epoch
GSM8K,Qwen2.5-Coder-14B-Instruct,Alibaba,2024-11-12,0.942,epoch
GSM8K,Qwen2.5-Coder-3B-Instruct,Alibaba,2024-11-12,0.807,epoch
Lech Mazur Writing,qwen2.5-max,Alibaba,2025-01-28,0.729,epoch
METR Time Horizons,davinci-002,OpenAI,2020-06-11,0.161869,epoch
METR Time Horizons,gpt-3.5-turbo-instruct,OpenAI,2023-09-18,0.214611,epoch
MMLU,Inflection-1,Inflection AI,2023-06-22,0.727,epoch
MMLU,Qwen1.5-7B,Alibaba,2024-02-04,0.626,epoch
MMLU,qwen1.5-14B,Alibaba,2024-02-04,0.686,epoch
MMLU,qwen1.5-32B,Alibaba,2024-02-04,0.744,epoch
MMLU,Mixtral-8x22B-v0.1,Mistral AI,2024-04-17,0.778,epoch
MMLU,Yi-large,01.AI,2024-05-13,0.793,epoch
MMLU,gemini-1.5-flash-0514,Google DeepMind,2024-05-14,0.778,epoch
MMLU,qwen2.5-14b-instruct,Alibaba,2024-09-19,0.799,epoch
MMLU-Pro,gemini-3.1-flash-lite-preview,Google DeepMind,2026-03-03,0.8449135638297872,kaggle
OSWorld,computer-use-preview-2025-03-11,OpenAI,2025-03-11,0.313,epoch
OTIS Mock AIME 2024-2025,qwen3.5-4b_none,Alibaba,2026-02-24,0.5583333333333333,epoch_live
ProofBench,laguna-xs.2,Poolside,2026-04-28,0.0,epoch
Remote Labor Index,Manus 1.0,Manus,2025-03-06,0.025,seal
Remote Labor Index,ChatGPT agent,OpenAI,2025-07-17,0.0125,seal
Remote Labor Index,Manus 1.5,Manus,2025-10-16,0.0250099999999999,seal
Remote Labor Index,Manus 1.6_max,Manus,2025-12-15,0.0292,seal
SimpleQA Verified,grok-4-fast-reasoning,xAI,2025-09-19,0.1967380224260958,kaggle
Terminal Bench 2.0,MiniMax-M2,MiniMax,2025-10-27,0.3,epoch
Terminal Bench 2.0,gpt-5.1-codex-mini,OpenAI,2025-11-12,0.616,epoch
Terminal Bench 2.0,MiniMax-M2.1,MiniMax,2025-12-23,0.366,epoch
TriviaQA,GLaM (MoE),Google DeepMind,2021-12-13,0.758,epoch
Visual Task Assessment (VISTA),Phi-3.5-vision-instruct,Microsoft,2024-08-16,0.1518,seal
Visual Task Assessment (VISTA),gemini-2.0-flash-thinking-exp-1219,Google DeepMind,2024-12-19,0.455,seal
Visual Task Assessment (VISTA),gemini-2.5-flash-2025-04,Google DeepMind,2025-04-17,0.4697,seal
Visual Task Assessment (VISTA),gemini-2.5-flash-2025-05,Google DeepMind,2025-05-20,0.4915,seal
VisualToolBench,nova-premier,Amazon,2025-04-30,0.02,seal
WeirdML v2,gemini-2.5-flash-lite-preview-06-17_16K,Google DeepMind,2025-06-17,0.3522,epoch
WeirdML v2,kimi-k2-0711-preview,Moonshot,2025-07-12,0.3936,epoch
WeirdML v2,gpt-5-chat,OpenAI,2025-08-07,0.3977,epoch
WeirdML v2,DeepSeek-V3.2-Speciale,DeepSeek,2025-12-01,0.4673,epoch
