model,benchmark,score,model_idx,benchmark_idx
Claude 3.7 Sonnet,OSWorld,0.358,13,24
Claude 3.7 Sonnet,OTIS Mock AIME 2024-2025,0.5777777777777777,13,25
Claude 3.7 Sonnet,SWE-Bench Verified (Bash Only),0.528,13,30
Claude 3.7 Sonnet,SimpleBench,0.3567997427198971,13,28
Claude 3.7 Sonnet,The Agent Company,0.309,13,32
Claude 3.7 Sonnet,VPCT,0.39,13,35
Claude Haiku 4.5,FrontierMath-2025-02-28-Private,0.05902777777777777,14,12
Claude Haiku 4.5,FrontierMath-Tier-4-2025-07-01-Private,0.02083333333333333,14,13
Claude Haiku 4.5,GPQA diamond,0.6161616161616162,14,15
Claude Haiku 4.5,MATH level 5,0.9636087945413192,14,21
Claude Haiku 4.5,OTIS Mock AIME 2024-2025,0.6666666666666666,14,25
Claude Haiku 4.5,SimpleQA Verified,0.059,14,29
Claude Haiku 4.5,Terminal Bench,0.298,14,31
Claude Haiku 4.5,WeirdML,0.454,14,36
Claude Instant,ARC AI2,0.8173333333333334,15,4
Claude Instant,GSM8K,0.867,15,16
Claude Instant,MMLU,0.6426666666666666,15,22
Claude Instant,TriviaQA,0.787,15,33
Claude Opus 4,ARC-AGI,0.357,16,3
Claude Opus 4,Aider polyglot,0.72,16,1
Claude Opus 4,Cybench,0.38,16,9
Claude Opus 4,DeepResearch Bench,0.49,16,10
Claude Opus 4,Fiction.LiveBench,0.611,16,11
Claude Opus 4,FrontierMath-2025-02-28-Private,0.04482758620689655,16,12
Claude Opus 4,FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,16,13
Claude Opus 4,GPQA diamond,0.6835016835016835,16,15
Claude Opus 4,GSO-Bench,0.069,16,17
Claude Opus 4,GeoBench,0.49,16,14
Claude Opus 4,MATH level 5,0.850453172205438,16,21
Claude Opus 4,OTIS Mock AIME 2024-2025,0.6444444444444445,16,25
Claude Opus 4,SWE-Bench Verified (Bash Only),0.676,16,30
Claude Opus 4,SimpleBench,0.5055998022399208,16,28
Claude Opus 4,VPCT,0.38,16,35
Claude Opus 4,WeirdML,0.434,16,36
Claude Opus 4.1,Cybench,0.38,17,9
Claude Opus 4.1,DeepResearch Bench,0.497,17,10
Claude Opus 4.1,FrontierMath-2025-02-28-Private,0.07241379310344828,17,12
Claude Opus 4.1,FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,17,13
Claude Opus 4.1,GPQA diamond,0.6969696969696969,17,15
Claude Opus 4.1,Lech Mazur Writing,0.8538000000000001,17,20
Claude Opus 4.1,OTIS Mock AIME 2024-2025,0.6888888888888889,17,25
Claude Opus 4.1,SimpleBench,0.5199998079999232,17,28
Claude Opus 4.1,SimpleQA Verified,0.348,17,29
Claude Opus 4.1,Terminal Bench,0.38,17,31
Claude Opus 4.1,VPCT,0.35,17,35
Claude Opus 4.1,WeirdML,0.4276,17,36
Claude Opus 4.5,ARC-AGI,0.8,18,3
Claude Opus 4.5,Chess Puzzles,0.12,18,8
Claude Opus 4.5,FrontierMath-2025-02-28-Private,0.20689655172413793,18,12
Claude Opus 4.5,FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,18,13
Claude Opus 4.5,GPQA diamond,0.813973063973064,18,15
Claude Opus 4.5,GSO-Bench,0.265,18,17
Claude Opus 4.5,GeoBench,0.75,18,14
Claude Opus 4.5,OSWorld,0.663,18,24
Claude Opus 4.5,OTIS Mock AIME 2024-2025,0.8611111111111112,18,25
Claude Opus 4.5,SWE-Bench Verified (Bash Only),0.744,18,30
Claude Opus 4.5,SimpleBench,0.543999817599927,18,28
Claude Opus 4.5,SimpleQA Verified,0.418,18,29
Claude Opus 4.5,Terminal Bench,0.631,18,31
Claude Opus 4.5,VPCT,0.4,18,35
Claude Opus 4.5,WeirdML,0.637,18,36
Claude Sonnet 4,ARC-AGI,0.4,19,3
Claude Sonnet 4,Aider polyglot,0.613,19,1
Claude Sonnet 4,Cybench,0.35,19,9
Claude Sonnet 4,DeepResearch Bench,0.478,19,10
Claude Sonnet 4,Fiction.LiveBench,0.469,19,11
Claude Sonnet 4,FrontierMath-2025-02-28-Private,0.04137931034482758,19,12
Claude Sonnet 4,FrontierMath-Tier-4-2025-07-01-Private,0,19,13
Claude Sonnet 4,GPQA diamond,0.7104377104377105,19,15
Claude Sonnet 4,GSO-Bench,0.049,19,17
Claude Sonnet 4,GeoBench,0.37,19,14
Claude Sonnet 4,MATH level 5,0.8436555891238671,19,21
Claude Sonnet 4,OSWorld,0.439,19,24
Claude Sonnet 4,OTIS Mock AIME 2024-2025,0.7111111111111111,19,25
Claude Sonnet 4,SWE-Bench Verified (Bash Only),0.6493,19,30
Claude Sonnet 4,SimpleBench,0.3459997383998954,19,28
Claude Sonnet 4,The Agent Company,0.331,19,32
Claude Sonnet 4,VPCT,0.34,19,35
Claude Sonnet 4,WeirdML,0.4611,19,36
Claude Sonnet 4.5,Chess Puzzles,0.12,20,8
Claude Sonnet 4.5,Cybench,0.55,20,9
Claude Sonnet 4.5,DeepResearch Bench,0.526,20,10
Claude Sonnet 4.5,FrontierMath-2025-02-28-Private,0.1522491349480969,20,12
Claude Sonnet 4.5,FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,20,13
Claude Sonnet 4.5,GPQA diamond,0.7643097643097643,20,15
Claude Sonnet 4.5,GSO-Bench,0.147,20,17
Claude Sonnet 4.5,MATH level 5,0.9773413897280968,20,21
Claude Sonnet 4.5,OSWorld,0.629,20,24
Claude Sonnet 4.5,OTIS Mock AIME 2024-2025,0.7777777777777778,20,25
Claude Sonnet 4.5,SWE-Bench Verified (Bash Only),0.706,20,30
Claude Sonnet 4.5,SimpleBench,0.4515997806399123,20,28
Claude Sonnet 4.5,SimpleQA Verified,0.236,20,29
Claude Sonnet 4.5,Terminal Bench,0.428,20,31
Claude Sonnet 4.5,VPCT,0.398,20,35
Claude Sonnet 4.5,WeirdML,0.4771,20,36
DeepSeek Coder 1.3B,ARC AI2,0.005333333333333338,28,4
DeepSeek Coder 1.3B,GSM8K,0.044,28,16
DeepSeek Coder 1.3B,MMLU,0.010666666666666677,28,22
DeepSeek Coder 1.3B,Winogrande,0.06600000000000006,28,37
DeepSeek Coder 33B,ARC AI2,0.2293333333333333,29,4
DeepSeek Coder 33B,GSM8K,0.354,29,16
DeepSeek Coder 33B,MMLU,0.19200000000000003,29,22
DeepSeek Coder 33B,Winogrande,0.24,29,37
DeepSeek Coder 6.7B,ARC AI2,0.152,30,4
DeepSeek Coder 6.7B,GSM8K,0.213,30,16
DeepSeek Coder 6.7B,MMLU,0.152,30,22
DeepSeek Coder 6.7B,Winogrande,0.1519999999999999,30,37
DeepSeek-R1,ARC-AGI,0.158,21,3
DeepSeek-R1,Aider polyglot,0.569,21,1
DeepSeek-R1,Balrog,0.349,21,5
DeepSeek-R1,Fiction.LiveBench,0.694,21,11
DeepSeek-R1,GPQA diamond,0.5896464646464645,21,15
DeepSeek-R1,Lech Mazur Writing,0.8300000000000001,21,20
DeepSeek-R1,MATH level 5,0.9305135951661632,21,21
DeepSeek-R1,OTIS Mock AIME 2024-2025,0.5333333333333333,21,25
DeepSeek-R1,SimpleBench,0.17079966831986731,21,28
DeepSeek-R1,WeirdML,0.3649,21,36
DeepSeek-R1 (May 2025),ARC-AGI,0.212,22,3
DeepSeek-R1 (May 2025),Aider polyglot,0.7140000000000001,22,1
DeepSeek-R1 (May 2025),DeepResearch Bench,0.351,22,10
DeepSeek-R1 (May 2025),Fiction.LiveBench,0.75,22,11
DeepSeek-R1 (May 2025),GPQA diamond,0.6843434343434344,22,15
DeepSeek-R1 (May 2025),MATH level 5,0.9663897280966768,22,21
DeepSeek-R1 (May 2025),OTIS Mock AIME 2024-2025,0.6638888888888889,22,25
DeepSeek-R1 (May 2025),SimpleBench,0.2895997158398863,22,28
DeepSeek-R1 (May 2025),SimpleQA Verified,0.274,22,29
DeepSeek-R1 (May 2025),WeirdML,0.4163,22,36
DeepSeek-V2 (MoE-236B),ARC AI2,0.896,23,4
DeepSeek-V2 (MoE-236B),BBH,0.7173333333333334,23,6
DeepSeek-V2 (MoE-236B),HellaSwag,0.828,23,18
DeepSeek-V2 (MoE-236B),MMLU,0.7120000000000001,23,22
DeepSeek-V2 (MoE-236B),PIQA,0.6779999999999999,23,26
DeepSeek-V2 (MoE-236B),TriviaQA,0.8,23,33
DeepSeek-V2 (MoE-236B),Winogrande,0.726,23,37
DeepSeek-V3,ARC AI2,0.9373333333333332,24,4
DeepSeek-V3,Aider polyglot,0.551,24,1
DeepSeek-V3,BBH,0.8333333333333334,24,6
DeepSeek-V3,Fiction.LiveBench,0.5,24,11
DeepSeek-V3,FrontierMath-2025-02-28-Private,0.01724137931034482,24,12
DeepSeek-V3,GPQA diamond,0.5681818181818182,24,15
DeepSeek-V3,HellaSwag,0.852,24,18
DeepSeek-V3,Lech Mazur Writing,0.77,24,20
DeepSeek-V3,MATH level 5,0.75547583081571,24,21
DeepSeek-V3,MMLU,0.8293333333333334,24,22
DeepSeek-V3,OTIS Mock AIME 2024-2025,0.37777777777777777,24,25
DeepSeek-V3,PIQA,0.694,24,26
DeepSeek-V3,SimpleBench,0.12639965055986024,24,28
DeepSeek-V3,TriviaQA,0.829,24,33
DeepSeek-V3,WeirdML,0.3608,24,36
DeepSeek-V3,Winogrande,0.704,24,37
DeepSeek-V3.1,Fiction.LiveBench,0.528,25,11
DeepSeek-V3.1,Lech Mazur Writing,0.8517,25,20
DeepSeek-V3.1,SimpleBench,0.2799997119998848,25,28
DeepSeek-V3.1,WeirdML,0.3836,25,36
DeepSeek-V3.2,Chess Puzzles,0.14,26,8
DeepSeek-V3.2,FrontierMath-2025-02-28-Private,0.221,26,12
DeepSeek-V3.2,FrontierMath-Tier-4-2025-07-01-Private,0.021,26,13
DeepSeek-V3.2,GPQA diamond,0.7789802789802791,26,15
DeepSeek-V3.2,OTIS Mock AIME 2024-2025,0.878174603174603,26,25
DeepSeek-V3.2,SimpleQA Verified,0.275,26,29
DeepSeek-V3.2-Exp,Aider polyglot,0.742,27,1
DeepSeek-V3.2-Exp,Fiction.LiveBench,0.833,27,11
DeepSeek-V3.2-Exp,The Agent Company,0.429,27,32
DeepSeek-V3.2-Exp,WeirdML,0.3948,27,36
Dolly 2.0-12b,ARC AI2,0.19466666666666668,31,4
Dolly 2.0-12b,HellaSwag,0.6106666666666666,31,18
Dolly 2.0-12b,MMLU,0.016000000000000014,31,22
Dolly 2.0-12b,OpenBookQA,0.18933333333333335,31,23
Dolly 2.0-12b,PIQA,0.508,31,26
Dolly 2.0-12b,Winogrande,0.236,31,37
Falcon 2 11B,GSM8K,0.5383,35,16
Falcon 2 11B,HellaSwag,0.7721333333333332,35,18
Falcon 2 11B,MMLU,0.4453333333333333,35,22
Falcon 2 11B,Winogrande,0.5660000000000001,35,37
Falcon-180B,ARC AI2,0.5706666666666668,32,4
Falcon-180B,GSM8K,0.544,32,16
Falcon-180B,HellaSwag,0.8533333333333334,32,18
Falcon-180B,LAMBADA,0.798,32,19
Falcon-180B,MMLU,0.608,32,22
Falcon-180B,OpenBookQA,0.5226666666666667,32,23
Falcon-180B,PIQA,0.698,32,26
Falcon-180B,Winogrande,0.742,32,37
Falcon-40B,ARC AI2,0.4914666666666667,33,4
Falcon-40B,BBH,0.16133333333333333,33,6
Falcon-40B,GSM8K,0.338,33,16
Falcon-40B,HellaSwag,0.8037333333333333,33,18
Falcon-40B,LAMBADA,0.773,33,19
Falcon-40B,MMLU,0.4253333333333333,33,22
Falcon-40B,OpenBookQA,0.4213333333333333,33,23
Falcon-40B,PIQA,0.6599999999999999,33,26
Falcon-40B,TriviaQA,0.799,33,33
Falcon-40B,Winogrande,0.538,33,37
Falcon-7B,ARC AI2,0.3048,34,4
Falcon-7B,BBH,0.05026666666666668,34,6
Falcon-7B,GSM8K,0.068,34,16
Falcon-7B,HellaSwag,0.7080000000000001,34,18
Falcon-7B,LAMBADA,0.749,34,19
Falcon-7B,MMLU,0.1333333333333333,34,22
Falcon-7B,OpenBookQA,0.3546666666666667,34,23
Falcon-7B,PIQA,0.6060000000000001,34,26
Falcon-7B,TriviaQA,0.646,34,33
Falcon-7B,Winogrande,0.3440000000000001,34,37
GLM-4.7,Chess Puzzles,0.06,57,8
GLM-4.7,FrontierMath-2025-02-28-Private,0.02439024390243902,57,12
GLM-4.7,FrontierMath-Tier-4-2025-07-01-Private,0,57,13
GLM-4.7,GPQA diamond,0.7777777777777778,57,15
GLM-4.7,OTIS Mock AIME 2024-2025,0.8333333333333334,57,25
GLM-4.7,SimpleBench,0.3723997489598996,57,28
GLM-4.7,SimpleQA Verified,0.315,57,29
GPT-3.5 Turbo,ANLI,0.3715003142498428,58,2
GPT-3.5 Turbo,ARC AI2,0.832,58,4
GPT-3.5 Turbo,BBH,0.48786666666666667,58,6
GPT-3.5 Turbo,GPQA diamond,0.040404040404040366,58,15
GPT-3.5 Turbo,GSM8K,0.5777,58,16
GPT-3.5 Turbo,MATH level 5,0.15889350453172205,58,21
GPT-3.5 Turbo,MMLU,0.6186666666666666,58,22
GPT-3.5 Turbo,OpenBookQA,0.8133333333333334,58,23
GPT-3.5 Turbo,TriviaQA,0.858,58,33
GPT-3.5 Turbo,WeirdML,0.0348,58,36
GPT-3.5 Turbo,Winogrande,0.6319999999999999,58,37
GPT-4 (Jun 2023),BBH,0.6682666666666667,59,6
GPT-4 (Jun 2023),GPQA diamond,0.07533670033670033,59,15
GPT-4 (Jun 2023),GSM8K,0.8999,59,16
GPT-4 (Jun 2023),MATH level 5,0.22970166163141997,59,21
GPT-4 (Jun 2023),MMLU,0.7653333333333333,59,22
GPT-4 (Jun 2023),OTIS Mock AIME 2024-2025,0.01111111111111111,59,25
GPT-4 (Jun 2023),TriviaQA,0.848,59,33
GPT-4 (Jun 2023),WeirdML,0.1244,59,36
GPT-4 (Mar 2023),GPQA diamond,0.14309764309764308,60,15
GPT-4 (Mar 2023),GSM8K,0.92,60,16
GPT-4 (Mar 2023),HellaSwag,0.9373333333333332,60,18
GPT-4 (Mar 2023),MMLU,0.8186666666666667,60,22
GPT-4 (Mar 2023),OTIS Mock AIME 2024-2025,0.00555555555555555,60,25
GPT-4 (Mar 2023),Winogrande,0.75,60,37
GPT-4 Turbo (Apr 2024),GPQA diamond,0.28787878787878785,61,15
GPT-4 Turbo (Apr 2024),MATH level 5,0.46733383685800606,61,21
GPT-4 Turbo (Apr 2024),MMLU,0.7506666666666666,61,22
GPT-4 Turbo (Apr 2024),OTIS Mock AIME 2024-2025,0.06666666666666667,61,25
GPT-4 Turbo (Apr 2024),SimpleBench,0.10119964047985618,61,28
GPT-4 Turbo (Apr 2024),WeirdML,0.1801,61,36
GPT-4.1,ARC-AGI,0.055,62,3
GPT-4.1,Aider polyglot,0.524,62,1
GPT-4.1,CadEval,0.42,62,7
GPT-4.1,Fiction.LiveBench,0.639,62,11
GPT-4.1,FrontierMath-2025-02-28-Private,0.05517241379310345,62,12
GPT-4.1,FrontierMath-Tier-4-2025-07-01-Private,0,62,13
GPT-4.1,GPQA diamond,0.5589225589225589,62,15
GPT-4.1,GeoBench,0.72,62,14
GPT-4.1,MATH level 5,0.8300604229607251,62,21
GPT-4.1,OTIS Mock AIME 2024-2025,0.38333333333333336,62,25
GPT-4.1,SWE-Bench Verified (Bash Only),0.3958,62,30
GPT-4.1,SimpleBench,0.12399964959985985,62,28
GPT-4.1,WeirdML,0.3904,62,36
GPT-4.1 mini,ARC-AGI,0.035,63,3
GPT-4.1 mini,Aider polyglot,0.324,63,1
GPT-4.1 mini,CadEval,0.16,63,7
GPT-4.1 mini,Fiction.LiveBench,0.444,63,11
GPT-4.1 mini,FrontierMath-2025-02-28-Private,0.04482758620689655,63,12
GPT-4.1 mini,GPQA diamond,0.5446127946127945,63,15
GPT-4.1 mini,MATH level 5,0.8729229607250756,63,21
GPT-4.1 mini,OTIS Mock AIME 2024-2025,0.44722222222222224,63,25
GPT-4.1 mini,SWE-Bench Verified (Bash Only),0.2394,63,30
GPT-4.1 mini,WeirdML,0.3761,63,36
GPT-4.1 nano,ARC-AGI,0,64,3
GPT-4.1 nano,Aider polyglot,0.08900000000000001,64,1
GPT-4.1 nano,Fiction.LiveBench,0.25,64,11
GPT-4.1 nano,FrontierMath-2025-02-28-Private,0.01034482758620689,64,12
GPT-4.1 nano,GPQA diamond,0.319023569023569,64,15
GPT-4.1 nano,MATH level 5,0.6999622356495468,64,21
GPT-4.1 nano,OTIS Mock AIME 2024-2025,0.28888888888888886,64,25
GPT-4.1 nano,WeirdML,0.1898,64,36
GPT-4.5,ARC-AGI,0.103,65,3
GPT-4.5,Aider polyglot,0.449,65,1
GPT-4.5,Cybench,0.175,65,9
GPT-4.5,Fiction.LiveBench,0.639,65,11
GPT-4.5,GPQA diamond,0.5824915824915825,65,15
GPT-4.5,Lech Mazur Writing,0.756,65,20
GPT-4.5,MATH level 5,0.7862537764350453,65,21
GPT-4.5,OTIS Mock AIME 2024-2025,0.37777777777777777,65,25
GPT-4.5,SimpleBench,0.2139996855998742,65,28
GPT-4.5,VPCT,0.45,65,35
GPT-4.5,WeirdML,0.3937,65,36
GPT-4o (Aug 2024),Aider polyglot,0.231,66,1
GPT-4o (Aug 2024),CadEval,0.26,66,7
GPT-4o (Aug 2024),FrontierMath-2025-02-28-Private,0.00344827586206896,66,12
GPT-4o (Aug 2024),GPQA diamond,0.3228114478114478,66,15
GPT-4o (Aug 2024),MATH level 5,0.5327605740181269,66,21
GPT-4o (Aug 2024),MMLU,0.7906666666666666,66,22
GPT-4o (Aug 2024),OTIS Mock AIME 2024-2025,0.06388888888888888,66,25
GPT-4o (Aug 2024),SimpleBench,0.013599605439842155,66,28
GPT-4o (Aug 2024),VideoMME,0.6253333333333333,66,34
GPT-4o (May 2024),Balrog,0.323,67,5
GPT-4o (May 2024),GPQA diamond,0.3186026936026936,67,15
GPT-4o (May 2024),MATH level 5,0.5104796072507553,67,21
GPT-4o (May 2024),MMLU,0.7893333333333333,67,22
GPT-4o (May 2024),OTIS Mock AIME 2024-2025,0.0625,67,25
GPT-4o (May 2024),ScienceQA,0.8466666666666667,67,27
GPT-4o (Nov 2024),ARC-AGI,0.045,68,3
GPT-4o (Nov 2024),Aider polyglot,0.182,68,1
GPT-4o (Nov 2024),Cybench,0.125,68,9
GPT-4o (Nov 2024),FrontierMath-2025-02-28-Private,0.00344827586206896,68,12
GPT-4o (Nov 2024),GPQA diamond,0.30513468013468015,68,15
GPT-4o (Nov 2024),GSO-Bench,0,68,17
GPT-4o (Nov 2024),GeoBench,0.71,68,14
GPT-4o (Nov 2024),Lech Mazur Writing,0.8180000000000001,68,20
GPT-4o (Nov 2024),MATH level 5,0.49773413897280966,68,21
GPT-4o (Nov 2024),MMLU,0.8413333333333334,68,22
GPT-4o (Nov 2024),OTIS Mock AIME 2024-2025,0.0625,68,25
GPT-4o (Nov 2024),SWE-Bench Verified (Bash Only),0.2162,68,30
GPT-4o (Nov 2024),The Agent Company,0.086,68,32
GPT-4o (Nov 2024),VPCT,0.4,68,35
GPT-4o (Nov 2024),WeirdML,0.2512,68,36
GPT-4o mini,Aider polyglot,0.036000000000000004,69,1
GPT-4o mini,Balrog,0.174,69,5
GPT-4o mini,GPQA diamond,0.1696127946127947,69,15
GPT-4o mini,GSM8K,0.913,69,16
GPT-4o mini,GeoBench,0.64,69,14
GPT-4o mini,Lech Mazur Writing,0.672,69,20
GPT-4o mini,MATH level 5,0.5263406344410876,69,21
GPT-4o mini,MMLU,0.7573333333333333,69,22
GPT-4o mini,OTIS Mock AIME 2024-2025,0.06944444444444445,69,25
GPT-4o mini,PIQA,0.774,69,26
GPT-4o mini,SimpleBench,0,69,28
GPT-4o mini,VPCT,0.34,69,35
GPT-4o mini,VideoMME,0.5306666666666667,69,34
GPT-4o mini,WeirdML,0.1176,69,36
GPT-5,ARC-AGI,0.657,70,3
GPT-5,Aider polyglot,0.88,70,1
GPT-5,Balrog,0.328,70,5
GPT-5,Chess Puzzles,0.37,70,8
GPT-5,DeepResearch Bench,0.51,70,10
GPT-5,Fiction.LiveBench,0.972,70,11
GPT-5,FrontierMath-2025-02-28-Private,0.32413793103448274,70,12
GPT-5,FrontierMath-Tier-4-2025-07-01-Private,0.125,70,13
GPT-5,GPQA diamond,0.8156565656565656,70,15
GPT-5,GSO-Bench,0.069,70,17
GPT-5,GeoBench,0.81,70,14
GPT-5,Lech Mazur Writing,0.8723000000000001,70,20
GPT-5,MATH level 5,0.9813066465256798,70,21
GPT-5,OTIS Mock AIME 2024-2025,0.9138888888888888,70,25
GPT-5,SWE-Bench Verified (Bash Only),0.65,70,30
GPT-5,SimpleBench,0.4803997921599168,70,28
GPT-5,SimpleQA Verified,0.506,70,29
GPT-5,Terminal Bench,0.496,70,31
GPT-5,VPCT,0.66,70,35
GPT-5,WeirdML,0.607,70,36
GPT-5 Pro,ARC-AGI,0.702,73,3
GPT-5 Pro,FrontierMath-Tier-4-2025-07-01-Private,0.146,73,13
GPT-5 Pro,SimpleBench,0.5391998156799263,73,28
GPT-5 Pro,WeirdML,0.6039,73,36
GPT-5 mini,Fiction.LiveBench,0.694,71,11
